20220506	21:27:15 	 72962bca-c71d-4889-8243-fa5a9da7398e 	 GET 	 undefined 	/states/?contig=true%20
20220506	21:28:32 	 f533c5e2-4a6b-4efc-a0db-7d212162a630 	 GET 	 undefined 	/states/?contig=true%20
20220506	21:28:37 	 508892f9-2b41-46e6-9e03-df1b6dfb90bb 	 GET 	 undefined 	/states/?contig=false
20220506	21:29:18 	 3382711c-e7df-443f-8684-7b091b924f88 	 GET 	 undefined 	/states/?contig=true%20
20220506	21:29:43 	 7618fddc-1412-464d-92bc-40a4ad33a34b 	 GET 	 undefined 	/states
20220506	21:31:37 	 3e5e4d78-271c-4f30-9e99-5fae7f002ae8 	 GET 	 undefined 	/states/?contig=true
20220506	21:31:46 	 c32d924d-c109-4aec-955e-c7e6099bab65 	 GET 	 undefined 	/states/?contig=true%20
20220506	21:31:48 	 3bb421dc-1ea1-4590-b8d3-92de6d525c04 	 GET 	 undefined 	/states/?contig=true
20220506	21:32:16 	 3aac17d2-3318-41fa-9a03-3d4650544f05 	 GET 	 undefined 	/states
20220506	21:32:20 	 cfa9aa88-c3fc-4cb1-949f-aac476b61a58 	 GET 	 undefined 	/states/?contig=true
20220506	21:32:27 	 142f2dd6-e67b-45f0-8f85-06d276e5ee2c 	 GET 	 undefined 	/states/?contig=false
20220506	21:52:15 	 43786e37-8102-4b99-9423-9e5738276d7c 	 GET 	 undefined 	/states/?contig=false
20220506	21:53:08 	 06081019-30f8-4ca2-bacf-9dd04d5d5976 	 GET 	 undefined 	/states/?contig=false
20220506	21:53:20 	 a1b1129b-0966-4b8c-b83f-ee44ecdb796f 	 GET 	 undefined 	/states/?contig=false
20220506	21:53:34 	 7fc0c320-0c54-4bfa-bd52-72de55b27904 	 GET 	 undefined 	/states/?contig=false
20220506	21:54:19 	 ae7908f9-8d38-470b-8aea-47a4c686e3c8 	 GET 	 undefined 	/states/?contig=false
20220506	21:54:45 	 77250c8f-dfe3-4dd2-ab32-4b9ecda3bf46 	 GET 	 undefined 	/states
20220506	21:54:58 	 3afefe3c-02af-4a74-8a1f-e0b098e8ff3e 	 GET 	 undefined 	/states/?contig=true%20
20220506	21:55:00 	 bc1b5b30-0ef7-4790-af58-72b4e83bf1fb 	 GET 	 undefined 	/states/?contig=true
20220506	21:56:08 	 464dcc52-bce6-4a0f-b519-96799c391029 	 GET 	 undefined 	/states/?contig=false
20220506	21:56:40 	 a6bf4c2a-eea4-479a-865f-93bab2e9328a 	 GET 	 undefined 	/states/?contig=false
20220506	22:03:18 	 63460755-7ddd-431c-b347-410399d31521 	 GET 	 undefined 	/states/?contig=false
20220506	22:03:28 	 4673f911-a0ea-4dcd-89c4-9bce0f9665f3 	 GET 	 undefined 	/states/?contig=false
20220506	22:03:35 	 a76f03af-1732-40b3-aa77-b70efff37e57 	 GET 	 undefined 	/states/?contig=false
20220506	22:04:03 	 c83fca62-c0fb-4974-b054-ca209b0d9402 	 GET 	 undefined 	/states/?contig=false
20220506	22:04:35 	 b6a877d6-9af1-4878-9bac-0ad3f3920f5c 	 GET 	 undefined 	/states/?contig=false
20220506	22:05:20 	 aa9693b2-aa18-4b84-b9f4-fbf65e3777a0 	 GET 	 undefined 	/states
20220506	22:05:49 	 6d487ce7-145e-4ad3-8db7-4a2a4567f886 	 GET 	 undefined 	/states/KS
20220506	22:06:16 	 d143e73d-4c66-4a72-b8e5-143d1b41398e 	 GET 	 undefined 	/states/KS
20220506	22:06:23 	 f7b21b8d-33fd-444c-a519-5d627d4f711b 	 GET 	 undefined 	/states
20220506	22:06:50 	 eac8df5e-93c1-4e20-a726-a1f329088847 	 GET 	 undefined 	/states/?contig=true
20220506	22:07:00 	 ac1176c4-a144-4161-b09c-77c44d80bb9f 	 GET 	 undefined 	/states/?contig=false
20220506	22:10:53 	 e7dc47cb-dbaa-42b5-9196-4ce3eb246460 	 GET 	 undefined 	/states/KS/funfact
20220506	22:14:56 	 dce88ccd-cb2e-4825-ad6a-c027adb105dd 	 GET 	 undefined 	/states/KS/funfact
20220506	22:15:36 	 6775d500-755a-4beb-8edb-fa5bec1fd1fd 	 GET 	 undefined 	/states/KS/funfact
20220506	22:15:54 	 571fc73b-4c12-4a6d-83b2-6b8cc3e0beda 	 GET 	 undefined 	/states/KS/funfact
20220506	22:16:11 	 d6f26cde-aa71-4358-a57c-71241c2e6eac 	 GET 	 undefined 	/states/KS/funfact
20220506	22:16:13 	 eea009c1-e1d8-43b3-b277-8220d59500e4 	 GET 	 undefined 	/states/KS/funfact
20220506	22:16:14 	 859ec126-1068-4fec-ae85-5648fccc6504 	 GET 	 undefined 	/states/KS/funfact
20220506	22:16:14 	 2083f6ff-e058-4097-9f01-aab6d61b7ed2 	 GET 	 undefined 	/states/KS/funfact
20220506	22:16:15 	 978228e5-cc5c-4d3a-b85e-f310bc165596 	 GET 	 undefined 	/states/KS/funfact
20220506	22:16:16 	 8cbc4609-8434-431b-a210-08f9a07a0acb 	 GET 	 undefined 	/states/KS/funfact
20220506	22:16:16 	 412b6f7c-9c41-4ebf-9e1c-ca7377c56a1f 	 GET 	 undefined 	/states/KS/funfact
20220506	22:16:17 	 23675d87-97d8-4ce4-ba55-e3d9ca43df40 	 GET 	 undefined 	/states/KS/funfact
20220506	22:16:18 	 71b3fdb7-90bd-455a-af8e-bc01230adf22 	 GET 	 undefined 	/states/KS/funfact
20220506	22:16:18 	 047df396-1250-4970-9dbb-7fe9795920dc 	 GET 	 undefined 	/states/KS/funfact
20220506	22:16:42 	 2abc28f5-818b-4068-bedb-d2e63057dc08 	 GET 	 undefined 	/states/KS/funfact
20220506	22:16:43 	 41a12a92-ccc2-4872-8610-1726de33e945 	 GET 	 undefined 	/states/KS/funfact
20220506	22:16:44 	 67d1014d-55c7-49d3-afba-f03362c40a1b 	 GET 	 undefined 	/states/KS/funfact
20220506	22:16:45 	 cbe9bce0-8e74-4306-bc9d-f9a000aecd95 	 GET 	 undefined 	/states/KS/funfact
20220506	22:23:27 	 2bb1c513-12b3-4ba5-8253-581ffb106ced 	 POST 	 undefined 	/states/KS/nickname%20
20220506	22:23:30 	 256bbbb4-1537-4dbc-9546-8caa839ed291 	 POST 	 undefined 	/states/KS/nickname%20
20220506	22:23:41 	 d8af8738-8d7d-4469-92fb-8cf165ad57a6 	 POST 	 undefined 	/states/KS/nickname
20220506	22:24:13 	 f8a7f48d-8449-413b-a132-eb384bb4b9ae 	 GET 	 undefined 	/states/KS/nickname
20220506	22:24:15 	 74c99793-0994-4952-bbe4-4b417e0738db 	 GET 	 undefined 	/states/KS/nickname
20220506	22:24:16 	 47683456-68db-48e6-9208-493881f36bb9 	 GET 	 undefined 	/states/KS/nickname
20220506	22:24:17 	 8881a909-4384-477d-813e-3245e9689550 	 GET 	 undefined 	/states/KS/nickname
20220506	22:24:38 	 dca680dc-9dea-441a-9b69-c39ead336588 	 GET 	 undefined 	/states/KS/nickname
20220506	22:24:39 	 f7e1cca2-b42d-4b19-b374-46f8d67bfa73 	 GET 	 undefined 	/states/KS/nickname
20220506	22:26:26 	 5a441037-61d4-4c9f-aea2-90cb9300496f 	 GET 	 undefined 	/states/KS/population
20220506	22:26:38 	 ea8c236f-ee45-48b8-b4ad-62ced09cb548 	 GET 	 undefined 	/states/KS/admission
20220506	22:26:41 	 06866f46-a8b9-4c1a-aea3-89e0108cee3a 	 GET 	 undefined 	/states/KS/admission
20220506	22:26:43 	 dd76cdb4-6d6e-4479-ad00-6762d98f3957 	 GET 	 undefined 	/states/KS/admission
20220506	22:26:44 	 955c23dc-5640-41ae-b44c-cba345aaad78 	 GET 	 undefined 	/states/KS/admission
20220506	22:28:09 	 84110d90-bc27-4abf-8514-cfe5d5c2305e 	 GET 	 undefined 	/states/KS/admission
20220506	22:28:13 	 4b507e1f-c403-418b-b310-595a61ab61d6 	 GET 	 undefined 	/states/KS/capital
20220506	22:28:25 	 458a8efe-13ea-4fec-804a-ec3a2331b77c 	 GET 	 undefined 	/states/HI
20220506	22:28:37 	 293b12f0-392a-40c2-9d30-d261d5b5e2ec 	 GET 	 undefined 	/states/MO
